text,label,,,
"It's Ok, Manchester's off flood alert. Fat chops has just walked in the Rovers. His equally repulsive Mam said 'let's get some food in you'.",0,,,
"Love how you ask for a tiny bit of sauce, and the idiots flood your food with sauce.",0,,,
Dif tailgate!! Morning games and good food. Im bout to flood y'all feed. It's gameday baby!!! Lets go… http://instagram.com/p/eAcjsuuKSl/ ,0,,,
"As much food as I've eaten today, I'm going to need my house to flood again so I can float over to the fridge to get more hummus.",0,,,
“@____Reece: Can't wait for the 'I'm hanging' and 'need food' tweets to flood my twitter” 'someone bring me a maccies and I will love you',0,,,
"@PointlessBlog oh my food, I would littelary die if you DM'ed me, okay maybe not but I would cry a flood...",1,,,
Ok well it looks as though we have some flood warnings I'm going to get some food And see what's up!,0,,,
Err:509,1,,,
"Thank god I have Tabasco to flood this bologanese with, the single most boring food ever",0,,,
Michelle Flood working hard to bring your fur kids real food. http://fb.me/2BtR16FcO ,0,,,
Thanks to floods the US gets ready to pay more for food. Will the world follow? SGI Blog http://www.greening.in/2013/06/sgi-blog.html …,0,,,
"Hope you survived floods OK. Still a few tix left for Saltburn's Brass Neck tonight. Tix at Saltburn Health Foods, or pay on door tonight.",0,,,
#Floods and Your Pets (via the Center for Food Security and Public Health) http://bit.ly/17FgmPq  #prepare #disasteranimals #hmrd,0,,,
I better go do this food run before this rain comes back and I'm stuck in Noah's flood again.,1,,,
Err:509,1,,,
Err:509,0,,,
Food time!!! Sorry ima flood ya timelines for aboit a week lmao @ Red Robin Gourmet Burgers http://instagram.com/p/d7yZGYCc2D/ ,0,,,
Lance Canales and the Flood Fri night at 8:30! Roots blues and slide guitar! Unfortunately Gypsy Flame can't make it tonight so bring food.,1,,,
Err:509,1,,,
"Just rang the pizza shop to see if my foods on its way and they said ""we had to stop delivering because of the floods"" thanks for telling me",0,,,
"Prepare a flood kit including a torch, batteries, mobile phone, warm clothes, water, food and any prescription medicines you may need.",0,,,
"Friday Food for thought! MT @LATimes What would flood if a huge #tsunami hit Southern #California? http://www.latimes.com/local/lanow/la-me-ln-what-would-flood-if-a-huge-tsunami-hit-southern-california-20130905,0,7890811.story …",1,,,
give them a day or two with no food and they'll eat him. RT @Earth_Pics Boy’s Best Friends Sit out Flood https://twitter.com/Earth_Pics/status/375985546444955648/photo/1pic.twitter.com/olXZHggvip ,1,,,
"""Why do they (flood survivors) complain? Free food/internet/clothing/items. They're so ungrateful!"" ~ #Siksika Nation Paid Representative",1,,,
"Khalsa Aid serving food to the people of Uttarakhand,north India, after the devastating floods in June this year.... http://fb.me/LcaZkzc4 ",0,,,
Keep safe to those who have flash flood warnings in their area and stock food.,0,,,
