id,text,type
592256891226468352,People in #nepal need blood.. Can India help them by providing the some blood? #blooddonation #NepalEarthquake,0
592135286466945024,"World Community #Nepal needs humanitarian aid, rescue &amp; medical aid #NepalEarthquake",0
592281070776651776,Donate blood and save lifes.....we are with u .... #Nepal,0
592126369565278209,"RT @thehimalayan: A hospital thronging with quake victims
- http://t.co/W2sbkHDNMI

#Nepal #Earthquake",0
592267700853821440,"RT @rajuthapa: Nepal Medical College,  Jorpati. 
Tent/tarpaulin needed urgent.

where we got redcross facilitate http://t.co/oaScqmkL8R",0
592217703563177984,"Our brethren in Nepal need massive humanitarian need. All schools, colleges and universities must conduct blood donation camps on priority.",0
592236529654702080,"RT @nepocean: clean water, food, rescue &amp; medicos is need of the nation now. #earthquake #kathmandu http://t.co/BUleYYUAb5",0
592186643290853376,"@PMOIndia sir nepal need more medical kind of help, so we have response to cure our brothers and sisters and our families",0
592197780904353792,"Photo: A child receives treatment outside the emergency ward of Bir hospital on April 25, 2015 in Kathmandu, #Nepal. http://t.co/nyKSQb32r2",0
592209897825013761,Nepal needs Aid to rebuild but first priority is to rescue those who are alive in debris &amp; need medical treatment to injured.,0
592264283704070144,RT @lbelbase: @PlanAsia @unnikru Great work @SC_Nepal #SaveTheChildren Blood Bank has now announced for the need of more blood! Please spre…,0
592139574266044416,"no electricity, no shelter, no communication, no food #help #nepal #NepalQuake #earthquake",0
592012112500666370,"@laveypj Ppl in nepal need food, medicines nt bible
how inhumane shameless creature u r..",0
592221039867793408,"From water to electricity, no safe shelter, no toilets, no food and rain. You're facing a lot #Nepal citizens. Have strength and be safe",0
592176920617361408,"Blood donations - apparently shortage of certain types. Please call Dr. Manita at 98510-84500 at Nepal Red Cross Blood
 VIa Kank Mani Dixit",0
592241024249925632,"@MEAIndia ""Need 10 medium &amp; heavy lift helicopters, fixed wing aircraft, water treatment plants urgently"": Ram Sharan Mahant (FinMin Nepal)",0
592050419259453440,RT @Ashishp_1: Its Time we need an international agency to tackle such Emergency. Cant we setup Some agency on the lines of @RedCross socie…,0
592006342212063232,@BisleriZone Plz provide water in Nepal,0
592076323297759232,"RT @Krittivasm: As #Nepal I&amp;B minister Rijal said 5,000 tents needed to house patients forced out of damaged hospital wards. https://t.co/v…",0
591989264256106499,RT @ankydas0: @canvassss @skyasesh @YouthForBlood they are in search of blood donors for the people who are injured in earthquake... help t…,0
592220518763274241,requirement of ambulances and buses as HM @BJPRajnathSingh requested to rescue ppl in Nepal i hope you have decided https://t.co/hw9FqINGWh,0
592192429928763392,"#SoulVultures: Pickaxes, shovels and earth-moving equipment required in Nepal. http://t.co/ZA1VVGIXB0",0
592191998196494336,@RaoKavitha send some food n water to Nepal.,0
592035222650167296,@pmharper pls send medicines and food to nepal you plz contact @SushmaSwaraj @narendramodi for better coordination.,0
591997786230427648,Nepal earthquake: Injured treated outdoors as Kathmandu hospital grapples with rush of victims: A massive 7.9-... http://t.co/lfGTbRMlKN,0
591995052169105408,@adgpi @BDUTT  Need more resources and personnel from Army for restoring Power / Bridges / Roads and to have substantial presence in Nepal,0
592279403679223809,There is shortage of Blood as well as oxygen cylinders...Nepal is in huge crisis.,0
592279426030641153,I request to SPGC pls send food to needy  people of Nepal they want food and water pls send them as soon as possible.,0
592052489240780800,"RT @ppariyar: i spent three hours in Trama center people are coming more and more,more volunteers,doctor ++ needed #Nepal Earth quick",0
592008885633822720,"RT @reportedly: From @UN_Nepal 
- Most affected areas: Gorkha &amp; Lamjung, NW of Kathmandu.
- 1 Kathmandu hospital so full it’s treating peop…",0
592181723967926274,"Nepal doesn't need money, but needs special forces with equipment, water, tents, medicines directly to victims. #nepalquake",0
592187621213806592,@MEAcontrolroom @SushmaSwaraj Indians stranded in Nepal's Sundhara relief camp need help. Without food or water. Please check TV news.,0
592273283233353728,RT @sadanpande: @narendramodi ...thousand Indians stranded in Nepal....plz help them..no water nothing to eat...queuing outside airport #Ne…,0
592178230452326401,"Please help Nepal,ur help needed there. Thousands are dying without water,foods,medicines. https://t.co/4w6m7eKxDv",0
592246635071049728,@PMOIndia  Can we please ask blood banks across India to pitch in with the Blood Bottles for Nepal? #NepalEarthquake #NepalQuakeRelief,0
592018533673869313,RT @SurgeryHealth: Our thoughts are with the people of #Nepal. Large need for surgical care even before the earthquake. @BJSurgery  http://…,0
592211354515156992,"Sadly, not a doctor or a nurse to help out the Nepal.",0
592022003579691008,Icu patients in out side of hospital. CMS HOSPITAL BHARATPUR NEPAL. http://t.co/uQFhYHaqJ0,0
592251287820849152,@VerseCannon @SanghParivarOrg people there need food &amp; shelter not gospel. Lord Pashupatinath is there to take care of Nepal.,0
592277527432859649,"RT @SaveUKNews: “We need to provide clean water urgently” - Roger Hodgson, Save the Children Nepal #NepalEarthquake",0
592049438908092416,"RT @QRCS: Calling #Nepalese community in #Qatar to urge their families in #Nepal to donate blood, O+ type is mostly needed.
#NepalEarthquak…",0
592213511796752384,My area need mask #earthquake,0
592209596183285762,"People desperate for food, medicine, shelter from #Nepalearthquake. At least 1,900 people are dead. #earthquake",0
592215736669442050,"RT @NepaliEr: Help provide food, shelter, medicines to quate victims nepal | nepalquakehelp http://t.co/ogQPKLNT3o",0
592142806304436224,@AnubhaShukla7 you should visit nepal they need medical store,0
592018397384286208,need your help support contribution for #nepalearthquake victim pls help the way you can.  #food #water #medical... http://t.co/xmAJrz37c5,0
592263482415845376,"RT @NisheshAcharya: Deupur Gairibisauna of Kavre- no houses left, no food and livestock trapped under debris. plz go for help is anyone is …",0
592211486795137024,"@vikramchandra Operation Maitri can't give birth to already dead 2000!
Nepal will be needing Medical aid to injured. #Reconstruction.",0
592155414029991937,"RT @arunmsk: Nepal needs help  it needs food, medicine relief materials for people in distress  Doesn't need Ramdev. A nuisance value.",0
592197561575833600,"At least, people should get #water to drink if not food immediately ! #earthquake",0
591988336090173440,"Food, First Aid &amp; Tents, would be the principal needs of those displaced by the earthquake. @temsutulaimsong @shaileshkpandey @hchaturv",0
592281354680696832,"@thekiranbedi @realpreityzinta @rks_14 @narendramodi Give me protection for Nepal,Give For Food ,Water And Medician ,India Help for nepal.:)",0
592181615658291200,"@narendramodi 
modi g 
can you send some doctor for nepal 
nepal people needd to us",0
592216232264216577,Electricity still down in most parts of #KTM. Ppl taking shelter in open spaces. Aftershocks still coming. #earthquake,0
592148963110703105,#Nepal plunges in despair. Kathmandu a classic case of urban disaster. Temporary shelter is a big need.,0
592222386184794112,@IOM_Nepal assesing needs of ppl taking shelter in open spaces. Crucial need for shelter WASH health! #NepalQuake http://t.co/rG1HsR76S3,0
592265539377967106,"RT @oxfamgbpress: Oxfam #Nepal appeal launched to deliver water, sanitation and emergency food supplies. Please donate here: http://t.co/KS…",0
592089990512807936,"@mashable some pictures from Norvic Hospital *A Class Hospital of nepal* 
Patients have been put on parking lot. http://t.co/sR3JuvidaX",0
592222997156474880,"@PMOIndia @narendramodi @SushmaSwaraj ji pls send buses to evaquate people, arrande droping of water, food, blanket in nepal to save life",0
592220359803437056,"Lack of blood in blood bank in nepal.
#QuakeNepal
@BBCWorld
@ibnlive",0
592022722437218304,"RT @Krittivasm: About 50% of houses in #Nepal damaged, essential commodities supply running low &amp; 5,000 tents need to house patients at dam…",0
592284518796529664,"@HMOIndia, @PMOIndia,

I Requested to PM. Mr. Modi, Please Provide some Dry Food, Biscuits or Mineral Waters for Nepal Effected People's.",0
592043734218375168,@nytimes plz send medicine and food packets to nepal if possible. #NepalEarthquake #NepalQuakeRelief,0
591979790627840000,"Nepalis,  r w/o water &amp; electricity. Water is essential to be supplied to the affected people in Nepal.",0
592057847745089536,THT - A hospital thronging with quake victims http://t.co/ml2JKZWFfl,0
592232533900701696,"RT @MusicForRelief: Nepal devastated by 7.8 quake . Help us provide immediate medical care, food, &amp; water: text MFR to 41444. http://t.co/9…",0
592259302917677057,"RT @nepalConfession: #message 
We need a blood ..Nepal Red Cross  society has announce that we are loosing the blood from blood bank... htt…",0
592236359823151104,"RT @HumanityRoad: MT @KanakManiDixit Blood donations needed. Call Dr. Manita at 98510-84500, Nepal Red Cross Blood Bank. #NepalQuake #hmrd …",0
592257707408642048,"RT @NplJoker: After observation, I humbly request with Nepal Government that please provide drinkable water to every small &amp; big safety cam…",0
592011381005651968,RT @dipakbhattarai: TU teaching hospital. #Earthquake injured are getting treatment on open space. Tents are urgent need. http://t.co/Dp2fs…,0
592174366344884224,"RT @aloksinha2001: RT @anirmukerji: RT @Krittivasm: 50% of houses in #Nepal damaged, commodities supply low, 5,000 tents need fr patients a…",0
592286342073028608,"RT @Jaw_Knock: Chirayu hospital has been evacuated after cracks after #NepalQuake , ishan hospital treating patients on the road. #Nepal",0
592026971648839680,@SushmaSwaraj can solar lightup equipment be sent as relief material to nepal ?to counter darkness till power is restored,0
591991053449699328,RT @snobers: Health workers take care of injured people outside hospital after an #earthquake caused serious damage in #Kathmandu http://t.…,0
592066377768443904,"RT @vegnepal: Please donate meat-free food to quake affected people.
#NepalQuake #Nepal #food #vegetarian",0
592006860271521793,"Prey for Nepal. Help Nepal in any form. food, shelter, money, water, medicine ..any help you can. #nepalquake",0
591996373869826048,India could surely despatch 3-4 Field Ambulance Units to Nepal. They need us now.,0
592247746251214848,RT @SudaceThapa: Urgent #NepalQuake : Blood shortage in #Kathmandu. For Blood donation call Dr. Manita at 98510-84500 at Nepal Red Cross Bl…,0
592189847936180225,"#Nepal : glad to hear from more friends in #Kathmandu . Internet is back, but great shortage of #water and #power, they say. #earthquake",0
592028815234207745,"RT @BuRrNInG_sOuL: Plz provide medicine ,blood,food,clean water,shelter and moral support to people of #Nepal
#NepalEarthquake",0
591985786880327682,"RT @karunajohn: RightWingers of ALL religions must keep away from Nepal. The survivors, do not need your bullshit. They need,food,water,med…",0
592023168681775104,"RT @Ekendra: This is how people r trying to keep themselves warm tonite, #Nepal needs warm cloths &amp; food. #NepalEarthquake http://t.co/bUGi…",0
592063210175336448,"RT @SusannaDiCosimo: #Nepal #NepalEarthquake track leaving from #Delhi 2morrow.donate Savalon,antibiotics, painkillers,disprins,clothes htt…",0
592249969987461121,"@SrBachchan @imsrk sir, plz 4ward this tweet; 2 rqt all helpful ppl to donate bloods in nearby hospitals. blood scarce in Nepal's hospitals.",0
592157346899558400,"Earthquake destroyed hospital, road building in Kavre district of Nepal. Dhulikhel hospital, scheermeorial... http://t.co/EvcNlCWPEB",0
592037641186463744,"RT @SuryahSG: 10 frnds stuck in Thame, Nepal. Its remotest place they require helicopter rescue. Hotel # 097738540167. Contact ppl Iqbal,Na…",0
592296149047840768,@WSJ US can keep announicing $1mn for Nepal-while people die-relief supplies/medicine/doctors r needed not dollars-insensitivity precictble2,0
592364546032930816,"My friend from nepal msgd that.huge scarcity of tents,food.lot more needed to be done on grnd in nepal",0
592331213005697025,RT @RoySamapti: Big numbers of people are waiting for flight in Nepal! They dont have food frm yesterday even not have Water! So painful it…,0
592346324286050305,"RT @alok227: Women, children sleeping in open ground at Koat Bazaar, Sitamarhi fearing #earthquake without argmnt of water,food. http://t.c…",0
592364807925452803,"RT @brionv: Lots of people in #Nepal will be needing water and food aid, please kick in a few bucks for instance via Oxfam: https://t.co/1h…",0
592298916109922304,"RT @mamtan14: What Nepal will need 
clothes 
Blankets
dried Food (Biscuits etc) 
Portable Toilets ( Japan Shld Donate) 
Medicines 
Water",0
592552801546305536,Sounds of traffic are back this morning in Kathmandu. People are still displaced. No electricity or running water. #kathmandu #earthquake,0
592287188995448832,Earthquake victims at @dhulikhel hospital please help with foods cloths shelther food bed blankets etc... http://t.co/aS78FaGLsj,0
592595552723804163,RT @guardian: Nepal earthquake: thousands in need of shelter in country little able to cope http://t.co/phtN81DngV,0
592339760330379264,"RT @Ekendra: Dear rescue team, we have run out of supplies including water, food &amp; tents at this location 27°39′26″N  85°18′36″E #earthquak…",0
